family,feature,statistic,p,effect
Means,gpa_current,t=-0.186,0.8521604758330056,d=0.01
Means,gpa_history,t=0.245,0.8068812640426212,d=-0.01
Means,attendance_rate,t=-0.893,0.3722902287539415,d=0.05
Means,credits_completed,t=1.478,0.14002581643197298,d=-0.09
Means,age,t=0.365,0.7150274258245287,d=-0.02
Means,advisor_meeting_count,t=-0.859,0.3909825690987084,d=0.05
Means,enrollment_gap_months,t=nan,0.11856122385078888,d=nan
Means,academic_warning_count,t=nan,0.20592677357929312,d=nan
Proportions,gender,"χ²=6.96, df=2",0.03078518279019898,V=0.06
Proportions,financial_aid_status,"χ²=3.48, df=1",0.06210328371238793,V=0.04
Proportions,major,"χ²=1.29, df=4",0.863050678002905,V=0.02
Variances,gpa_current,L=0.06,0.8053644301350723,(see variances)
Variances,attendance_rate,L=0.22,0.6365673738247575,(see variances)
Variances,credits_completed,L=0.25,0.6137754921185125,(see variances)
ANOVA,gpa_current,F=0.00,0.9546421011156839,η²=0.00
ANOVA,attendance_rate,F=0.19,0.6604592216829313,η²=0.00
ANOVA,academic_warning_count,F=1.05,0.3818158800947751,η²=0.00
